1;656
2;466
3;728
4;590
5;503
6;569
7;797
8;558
9;774
10;576
11;750
12;569
13;625
14;935
15;699
16;780
17;469
18;525
19;734
20;909
21;448
22;893
23;781
24;998
25;783
26;523
27;533
28;887
29;700
30;737
31;816
32;911
33;956
34;975
35;726
36;710
37;667
38;465
39;545
40;474
41;846
42;956
43;998
44;820
45;920
46;539
47;469
48;646
49;590
50;712
51;754
52;821
53;656
54;898
55;535
56;639
57;507
58;441
59;962
60;964
61;811
62;444
63;872
64;940
65;817
66;922
67;979
68;830
69;904
70;550
71;524
72;573
73;871
74;923
75;443
76;856
77;476
78;689
79;433
80;573
81;771
82;874
83;908
84;453
85;591
86;853
87;907
88;626
89;583
90;829
91;798
92;441
93;949
94;956
95;749
96;574
97;899
98;699
99;831
100;873
